legacy_import,disposition,v2_replacement_or_action
buildcraft.api.core.IFakePlayerProvider,MIGRATE,ActorService / AutomationActor
buildcraft.api.core.IFluidFilter,MIGRATE,FluidMatcher
buildcraft.api.core.IFluidHandlerAdv,MIGRATE,FluidPort
buildcraft.api.core.IPathProvider,MIGRATE,AreaProvider / Path
buildcraft.api.core.IPlayerOwned,MIGRATE,OwnedView
buildcraft.api.core.IStackFilter,MIGRATE,ItemMatcher
buildcraft.api.core.IWorldProperty,MIGRATE,WorldProperty / WorldPropertyService
buildcraft.api.core.IZone,MIGRATE,Zone
buildcraft.api.core.InvalidInputDataException,INTERNALIZE,CodecResult / validation result
buildcraft.api.core.SafeTimeTracker,INTERNALIZE,implementation timing utility
buildcraft.api.core.render.ISprite,MIGRATE,client presentation metadata / implementation renderer
buildcraft.api.crops.CropManager,MIGRATE,CropService / CropAdapter
buildcraft.api.crops.ICropHandler,MIGRATE,CropService / CropAdapter
buildcraft.api.data.NbtSquishConstants,INTERNALIZE,persistence codec implementation
buildcraft.api.enums.EnumEngineType,MIGRATE,EngineType registry
buildcraft.api.enums.EnumLaserTableType,MIGRATE,LaserTableType registry
buildcraft.api.enums.EnumOptionalSnapshotType,MIGRATE,Optional<SnapshotKind>
buildcraft.api.enums.EnumPowerStage,MIGRATE,EngineStage
buildcraft.api.enums.EnumRedstoneChipset,MIGRATE,ChipsetType registry
buildcraft.api.enums.EnumSnapshotType,MIGRATE,SnapshotKind
buildcraft.api.enums.EnumSpring,INTERNALIZE,core spring content type
buildcraft.api.events.RobotEvent,MIGRATE,RobotEventListener / typed domain events
buildcraft.api.facades.FacadeAPI,MIGRATE,FacadeService / FacadeMaterialAdapter / FacadeRuleService
buildcraft.api.facades.FacadeType,MIGRATE,FacadeService / FacadeMaterialAdapter / FacadeRuleService
buildcraft.api.facades.IFacade,MIGRATE,FacadeService / FacadeMaterialAdapter / FacadeRuleService
buildcraft.api.facades.IFacadeItem,MIGRATE,FacadeService / FacadeMaterialAdapter / FacadeRuleService
buildcraft.api.facades.IFacadePhasedState,MIGRATE,FacadeService / FacadeMaterialAdapter / FacadeRuleService
buildcraft.api.facades.IFacadeRegistry,MIGRATE,FacadeService / FacadeMaterialAdapter / FacadeRuleService
buildcraft.api.facades.IFacadeState,MIGRATE,FacadeService / FacadeMaterialAdapter / FacadeRuleService
buildcraft.api.filler.FillerManager,MIGRATE,FillerPatternType / FillerPatternService / FillerMask
buildcraft.api.filler.IFilledTemplate,MIGRATE,FillerPatternType / FillerPatternService / FillerMask
buildcraft.api.filler.IFillerPattern,MIGRATE,FillerPatternType / FillerPatternService / FillerMask
buildcraft.api.filler.IFillerPatternShape,MIGRATE,FillerPatternType / FillerPatternService / FillerMask
buildcraft.api.filler.IFillerRegistry,MIGRATE,FillerPatternType / FillerPatternService / FillerMask
buildcraft.api.fuels.BuildcraftFuelRegistry,MIGRATE,EnergyFluidService / FuelProfile / CoolantProfile
buildcraft.api.fuels.ICoolant,MIGRATE,EnergyFluidService / FuelProfile / CoolantProfile
buildcraft.api.fuels.ICoolantManager,MIGRATE,EnergyFluidService / FuelProfile / CoolantProfile
buildcraft.api.fuels.IFuel,MIGRATE,EnergyFluidService / FuelProfile / CoolantProfile
buildcraft.api.fuels.IFuelManager,MIGRATE,EnergyFluidService / FuelProfile / CoolantProfile
buildcraft.api.fuels.IFuelManager.IDirtyFuel,MIGRATE,EnergyFluidService / FuelProfile / CoolantProfile
buildcraft.api.fuels.ISolidCoolant,MIGRATE,EnergyFluidService / FuelProfile / CoolantProfile
buildcraft.api.gates.IGate,MIGRATE,GateService / GateView / GateProgram
buildcraft.api.inventory.IItemHandlerFiltered,MIGRATE,ItemPort / SlottedItemPort / ItemTransferPolicy
buildcraft.api.inventory.IItemTransactor,MIGRATE,ItemPort / SlottedItemPort / ItemTransferPolicy
buildcraft.api.inventory.IItemTransactor.IItemExtractable,MIGRATE,ItemPort / SlottedItemPort / ItemTransferPolicy
buildcraft.api.inventory.IItemTransactor.IItemInsertable,MIGRATE,ItemPort / SlottedItemPort / ItemTransferPolicy
buildcraft.api.items.FluidItemDrops,MIGRATE,FluidDropService / FluidDropProvider
buildcraft.api.items.IItemFluidShard,MIGRATE,FluidDropService / FluidDropProvider
buildcraft.api.items.IList,MIGRATE,ItemList / ItemListService
buildcraft.api.items.IMapLocation,MIGRATE,MapLocationAdapter / MapLocationService
buildcraft.api.items.IMapLocation.MapLocationType,MIGRATE,MapLocationKind
buildcraft.api.items.INamedItem,MIGRATE,ItemLabelAdapter / ItemLabelService
buildcraft.api.lists.ListMatchHandler,MIGRATE,ItemListService / ListMatchAdapter
buildcraft.api.lists.ListMatchHandler.Type,MIGRATE,ItemListService / ListMatchAdapter
buildcraft.api.lists.ListRegistry,MIGRATE,ItemListService / ListMatchAdapter
buildcraft.api.mj.ILaserTarget,MIGRATE,LaserTarget / LaserTargetService
buildcraft.api.mj.ILaserTargetBlock,MIGRATE,LaserTargetService lookup
buildcraft.api.mj.IMjConnector,MIGRATE,MjPortDescriptor / MjConnectionRule
buildcraft.api.mj.IMjPassiveProvider,MIGRATE,MjPort + PASSIVE_PROVIDER role
buildcraft.api.mj.IMjReadable,MIGRATE,MjPort stored/capacity + READABLE role
buildcraft.api.mj.IMjReceiver,MIGRATE,MjPort
buildcraft.api.mj.IMjRedstoneReceiver,MIGRATE,MjPort + REDSTONE_RECEIVER role
buildcraft.api.mj.IMjToFeStatus,MIGRATE,EnergyService / EnergyConversionStatus
buildcraft.api.mj.MjAPI,MIGRATE,MjAmount / EnergyService / BuildCraftServices
buildcraft.api.mj.MjBattery,MIGRATE,MjStorage / EnergyService.createStorage
buildcraft.api.mj.MjCapabilityHelper,MIGRATE,EnergyService / platform bridge
buildcraft.api.mj.MjFeConversion,MIGRATE,EnergyConversion
buildcraft.api.mj.MjToFeAutoConverter,MIGRATE,platform ExternalEnergyPort bridge
buildcraft.api.properties.BuildCraftProperties,INTERNALIZE,module-owned block-state properties
buildcraft.api.recipes.BuildcraftRecipeRegistry,MIGRATE,MachineRecipeService / CountedIngredient / typed recipe definitions
buildcraft.api.recipes.IIntegrationRecipeRegistry,MIGRATE,MachineRecipeService / CountedIngredient / typed recipe definitions
buildcraft.api.recipes.IRefineryRecipeManager,MIGRATE,MachineRecipeService / CountedIngredient / typed recipe definitions
buildcraft.api.recipes.IRefineryRecipeManager.ICoolableRecipe,MIGRATE,MachineRecipeService / CountedIngredient / typed recipe definitions
buildcraft.api.recipes.IRefineryRecipeManager.IDistillationRecipe,MIGRATE,MachineRecipeService / CountedIngredient / typed recipe definitions
buildcraft.api.recipes.IRefineryRecipeManager.IHeatExchangerRecipe,MIGRATE,MachineRecipeService / CountedIngredient / typed recipe definitions
buildcraft.api.recipes.IRefineryRecipeManager.IHeatableRecipe,MIGRATE,MachineRecipeService / CountedIngredient / typed recipe definitions
buildcraft.api.recipes.IngredientStack,MIGRATE,MachineRecipeService / CountedIngredient / typed recipe definitions
buildcraft.api.recipes.IntegrationRecipe,MIGRATE,MachineRecipeService / CountedIngredient / typed recipe definitions
buildcraft.api.recipes.StackDefinition,MIGRATE,MachineRecipeService / CountedIngredient / typed recipe definitions
buildcraft.api.robots.AIRobot,MIGRATE,RobotService / RobotHandle / RobotTaskType / RobotResourceType / RobotDock
buildcraft.api.robots.DockingStation,MIGRATE,RobotService / RobotHandle / RobotTaskType / RobotResourceType / RobotDock
buildcraft.api.robots.EntityRobotBase,MIGRATE,RobotService / RobotHandle / RobotTaskType / RobotResourceType / RobotDock
buildcraft.api.robots.IDockingStationProvider,MIGRATE,RobotService / RobotHandle / RobotTaskType / RobotResourceType / RobotDock
buildcraft.api.robots.IRequestProvider,MIGRATE,RequestProvider / RequestService
buildcraft.api.robots.IRobotRegistry,MIGRATE,RobotService / RobotHandle / RobotTaskType / RobotResourceType / RobotDock
buildcraft.api.robots.IRobotRegistryProvider,MIGRATE,RobotService / RobotHandle / RobotTaskType / RobotResourceType / RobotDock
buildcraft.api.robots.ResourceId,MIGRATE,RobotService / RobotHandle / RobotTaskType / RobotResourceType / RobotDock
buildcraft.api.robots.ResourceIdBlock,MIGRATE,RobotService / RobotHandle / RobotTaskType / RobotResourceType / RobotDock
buildcraft.api.robots.ResourceIdRequest,MIGRATE,RobotService / RobotHandle / RobotTaskType / RobotResourceType / RobotDock
buildcraft.api.robots.RobotManager,MIGRATE,RobotService / RobotHandle / RobotTaskType / RobotResourceType / RobotDock
buildcraft.api.schematics.BuilderInventoryCopyAPI,MIGRATE,SchematicService / SchematicAdapter / SnapshotElementType / DataPath
buildcraft.api.schematics.ISchematicBlock,MIGRATE,SchematicService / SchematicAdapter / SnapshotElementType / DataPath
buildcraft.api.schematics.ISchematicEntity,MIGRATE,SchematicService / SchematicAdapter / SnapshotElementType / DataPath
buildcraft.api.schematics.SchematicBlockContext,MIGRATE,SchematicService / SchematicAdapter / SnapshotElementType / DataPath
buildcraft.api.schematics.SchematicBlockFactory,MIGRATE,SchematicService / SchematicAdapter / SnapshotElementType / DataPath
buildcraft.api.schematics.SchematicBlockFactoryRegistry,MIGRATE,SchematicService / SchematicAdapter / SnapshotElementType / DataPath
buildcraft.api.schematics.SchematicEntityContext,MIGRATE,SchematicService / SchematicAdapter / SnapshotElementType / DataPath
buildcraft.api.schematics.SchematicEntityFactory,MIGRATE,SchematicService / SchematicAdapter / SnapshotElementType / DataPath
buildcraft.api.schematics.SchematicEntityFactoryRegistry,MIGRATE,SchematicService / SchematicAdapter / SnapshotElementType / DataPath
buildcraft.api.statements.IAction,MIGRATE,StatementService / ActionType / TriggerType / ParameterType / client presentation
buildcraft.api.statements.IActionExternal,MIGRATE,StatementService / ActionType / TriggerType / ParameterType / client presentation
buildcraft.api.statements.IActionInternal,MIGRATE,StatementService / ActionType / TriggerType / ParameterType / client presentation
buildcraft.api.statements.IActionInternalSided,MIGRATE,StatementService / ActionType / TriggerType / ParameterType / client presentation
buildcraft.api.statements.IActionProvider,MIGRATE,StatementService / ActionType / TriggerType / ParameterType / client presentation
buildcraft.api.statements.IActionReceptor,MIGRATE,StatementService / ActionType / TriggerType / ParameterType / client presentation
buildcraft.api.statements.IActionSingle,MIGRATE,StatementService / ActionType / TriggerType / ParameterType / client presentation
buildcraft.api.statements.IGuiSlot,MIGRATE,StatementService / ActionType / TriggerType / ParameterType / client presentation
buildcraft.api.statements.IStatement,MIGRATE,StatementService / ActionType / TriggerType / ParameterType / client presentation
buildcraft.api.statements.IStatementContainer,MIGRATE,StatementService / ActionType / TriggerType / ParameterType / client presentation
buildcraft.api.statements.IStatementParameter,MIGRATE,StatementService / ActionType / TriggerType / ParameterType / client presentation
buildcraft.api.statements.IStatementParameter.DrawType,MIGRATE,StatementService / ActionType / TriggerType / ParameterType / client presentation
buildcraft.api.statements.ITrigger,MIGRATE,StatementService / ActionType / TriggerType / ParameterType / client presentation
buildcraft.api.statements.ITriggerExternal,MIGRATE,StatementService / ActionType / TriggerType / ParameterType / client presentation
buildcraft.api.statements.ITriggerExternalOverride,MIGRATE,StatementService / ActionType / TriggerType / ParameterType / client presentation
buildcraft.api.statements.ITriggerInternal,MIGRATE,StatementService / ActionType / TriggerType / ParameterType / client presentation
buildcraft.api.statements.ITriggerInternalSided,MIGRATE,StatementService / ActionType / TriggerType / ParameterType / client presentation
buildcraft.api.statements.ITriggerProvider,MIGRATE,StatementService / ActionType / TriggerType / ParameterType / client presentation
buildcraft.api.statements.StatementManager,MIGRATE,StatementService / ActionType / TriggerType / ParameterType / client presentation
buildcraft.api.statements.StatementManager.IParamReaderBuf,MIGRATE,StatementService / ActionType / TriggerType / ParameterType / client presentation
buildcraft.api.statements.StatementManager.IParameterReader,MIGRATE,StatementService / ActionType / TriggerType / ParameterType / client presentation
buildcraft.api.statements.StatementMouseClick,MIGRATE,StatementService / ActionType / TriggerType / ParameterType / client presentation
buildcraft.api.statements.StatementParameterItemStack,MIGRATE,StatementService / ActionType / TriggerType / ParameterType / client presentation
buildcraft.api.statements.StatementSlot,MIGRATE,StatementService / ActionType / TriggerType / ParameterType / client presentation
buildcraft.api.statements.containers.IFillerStatementContainer,MIGRATE,StatementService / ActionType / TriggerType / ParameterType / client presentation
buildcraft.api.statements.containers.IRedstoneStatementContainer,MIGRATE,StatementService / ActionType / TriggerType / ParameterType / client presentation
buildcraft.api.statements.containers.ISidedStatementContainer,MIGRATE,StatementService / ActionType / TriggerType / ParameterType / client presentation
buildcraft.api.template.ITemplateHandler,MIGRATE,TemplateService / TemplateHandler
buildcraft.api.template.ITemplateRegistry,MIGRATE,TemplateService / TemplateHandler
buildcraft.api.template.TemplateApi,MIGRATE,TemplateService / TemplateHandler
buildcraft.api.tiles.IControllable,MIGRATE,MachineControl / MachineControlMode
buildcraft.api.tiles.IControllable.Mode,MIGRATE,MachineControlMode
buildcraft.api.tiles.IDebuggable,MIGRATE,DebugContributor / DebugService
buildcraft.api.tiles.IHasWork,MIGRATE,MachineView / WorkStatus
buildcraft.api.tiles.ITileAreaProvider,MIGRATE,MachineAreaView
buildcraft.api.tiles.TilesAPI,MIGRATE,typed services/views + platform bridges
buildcraft.api.tools.IToolWrench,MIGRATE,WrenchService
buildcraft.api.transport.EnumWirePart,INTERNALIZE,signal implementation topology
buildcraft.api.transport.IInjectable,MIGRATE,ItemPipePort / PipeService.injectItem
buildcraft.api.transport.IItemPluggable,MIGRATE,PipeAttachmentType / PipeService.placeAttachment
buildcraft.api.transport.IStripesActivator,MIGRATE,AutomationService / PipeService
buildcraft.api.transport.IStripesHandlerBlock,MIGRATE,StripesHandler
buildcraft.api.transport.IStripesHandlerItem,MIGRATE,StripesHandler
buildcraft.api.transport.IStripesRegistry,MIGRATE,STRIPES_HANDLERS registry
buildcraft.api.transport.IWireEmitter,MIGRATE,SignalPort
buildcraft.api.transport.IWireManager,MIGRATE,SignalService / SignalNetworkView
buildcraft.api.transport.WireNode,INTERNALIZE,signal implementation topology
buildcraft.api.transport.pipe.EnumPipeColourType,MIGRATE,PipeService / PipeType / components / attachments / typed events
buildcraft.api.transport.pipe.ICustomPipeConnection,MIGRATE,PipeService / PipeType / components / attachments / typed events
buildcraft.api.transport.pipe.IFlowFluid,MIGRATE,PipeService / PipeType / components / attachments / typed events
buildcraft.api.transport.pipe.IFlowForgeEnergy,MIGRATE,PipeService / PipeType / components / attachments / typed events
buildcraft.api.transport.pipe.IFlowItems,MIGRATE,PipeService / PipeType / components / attachments / typed events
buildcraft.api.transport.pipe.IFlowPower,MIGRATE,PipeService / PipeType / components / attachments / typed events
buildcraft.api.transport.pipe.IItemPipe,MIGRATE,PipeService / PipeType / components / attachments / typed events
buildcraft.api.transport.pipe.IPipe,MIGRATE,PipeService / PipeType / components / attachments / typed events
buildcraft.api.transport.pipe.IPipe.ConnectedType,MIGRATE,PipeService / PipeType / components / attachments / typed events
buildcraft.api.transport.pipe.IPipeBehaviourBaker,MIGRATE,PipeService / PipeType / components / attachments / typed events
buildcraft.api.transport.pipe.IPipeBehaviourRenderer,MIGRATE,PipeService / PipeType / components / attachments / typed events
buildcraft.api.transport.pipe.IPipeExtensionManager,MIGRATE,PipeService / PipeType / components / attachments / typed events
buildcraft.api.transport.pipe.IPipeFlowBaker,MIGRATE,PipeService / PipeType / components / attachments / typed events
buildcraft.api.transport.pipe.IPipeFlowRenderer,MIGRATE,PipeService / PipeType / components / attachments / typed events
buildcraft.api.transport.pipe.IPipeHolder,MIGRATE,PipeService / PipeType / components / attachments / typed events
buildcraft.api.transport.pipe.IPipeHolder.PipeMessageReceiver,MIGRATE,PipeService / PipeType / components / attachments / typed events
buildcraft.api.transport.pipe.IPipeRegistry,MIGRATE,PipeService / PipeType / components / attachments / typed events
buildcraft.api.transport.pipe.PipeApi,MIGRATE,PipeService / PipeType / components / attachments / typed events
buildcraft.api.transport.pipe.PipeApi.FluidTransferInfo,MIGRATE,PipeService / PipeType / components / attachments / typed events
buildcraft.api.transport.pipe.PipeApi.ForgeEnergyTransferInfo,MIGRATE,PipeService / PipeType / components / attachments / typed events
buildcraft.api.transport.pipe.PipeApi.PowerTransferInfo,MIGRATE,PipeService / PipeType / components / attachments / typed events
buildcraft.api.transport.pipe.PipeApiClient,MIGRATE,PipeService / PipeType / components / attachments / typed events
buildcraft.api.transport.pipe.PipeApiClient.IClientRegistry,MIGRATE,PipeService / PipeType / components / attachments / typed events
buildcraft.api.transport.pipe.PipeBehaviour,MIGRATE,PipeService / PipeType / components / attachments / typed events
buildcraft.api.transport.pipe.PipeConnectionAPI,MIGRATE,PipeService / PipeType / components / attachments / typed events
buildcraft.api.transport.pipe.PipeDefinition,MIGRATE,PipeService / PipeType / components / attachments / typed events
buildcraft.api.transport.pipe.PipeDefinition.IPipeCreator,MIGRATE,PipeService / PipeType / components / attachments / typed events
buildcraft.api.transport.pipe.PipeDefinition.IPipeLoader,MIGRATE,PipeService / PipeType / components / attachments / typed events
buildcraft.api.transport.pipe.PipeDefinition.PipeDefinitionBuilder,MIGRATE,PipeService / PipeType / components / attachments / typed events
buildcraft.api.transport.pipe.PipeEvent,MIGRATE,PipeService / PipeType / components / attachments / typed events
buildcraft.api.transport.pipe.PipeEventActionActivate,MIGRATE,PipeService / PipeType / components / attachments / typed events
buildcraft.api.transport.pipe.PipeEventConnectionChange,MIGRATE,PipeService / PipeType / components / attachments / typed events
buildcraft.api.transport.pipe.PipeEventFluid,MIGRATE,PipeService / PipeType / components / attachments / typed events
buildcraft.api.transport.pipe.PipeEventFluid.OnMoveToCentre,MIGRATE,PipeService / PipeType / components / attachments / typed events
buildcraft.api.transport.pipe.PipeEventFluid.PreMoveToCentre,MIGRATE,PipeService / PipeType / components / attachments / typed events
buildcraft.api.transport.pipe.PipeEventForgeEnergy,MIGRATE,PipeService / PipeType / components / attachments / typed events
buildcraft.api.transport.pipe.PipeEventHandler,MIGRATE,PipeService / PipeType / components / attachments / typed events
buildcraft.api.transport.pipe.PipeEventItem,MIGRATE,PipeService / PipeType / components / attachments / typed events
buildcraft.api.transport.pipe.PipeEventItem.ItemEntry,MIGRATE,PipeService / PipeType / components / attachments / typed events
buildcraft.api.transport.pipe.PipeEventPower,MIGRATE,PipeService / PipeType / components / attachments / typed events
buildcraft.api.transport.pipe.PipeEventPriority,MIGRATE,PipeService / PipeType / components / attachments / typed events
buildcraft.api.transport.pipe.PipeEventStatement,MIGRATE,PipeService / PipeType / components / attachments / typed events
buildcraft.api.transport.pipe.PipeEventTileState,MIGRATE,PipeService / PipeType / components / attachments / typed events
buildcraft.api.transport.pipe.PipeFaceTex,MIGRATE,PipeService / PipeType / components / attachments / typed events
buildcraft.api.transport.pipe.PipeFlow,MIGRATE,PipeService / PipeType / components / attachments / typed events
buildcraft.api.transport.pipe.PipeFlowType,MIGRATE,PipeService / PipeType / components / attachments / typed events
buildcraft.api.transport.pluggable.IPlugDynamicRenderer,MIGRATE,PipeAttachmentType / PipeAttachment / client presentation
buildcraft.api.transport.pluggable.IPluggableRegistry,MIGRATE,PipeAttachmentType / PipeAttachment / client presentation
buildcraft.api.transport.pluggable.IPluggableStaticBaker,MIGRATE,PipeAttachmentType / PipeAttachment / client presentation
buildcraft.api.transport.pluggable.PipePluggable,MIGRATE,PipeAttachmentType / PipeAttachment / client presentation
buildcraft.api.transport.pluggable.PluggableDefinition,MIGRATE,PipeAttachmentType / PipeAttachment / client presentation
buildcraft.api.transport.pluggable.PluggableDefinition.IPluggableCreator,MIGRATE,PipeAttachmentType / PipeAttachment / client presentation
buildcraft.api.transport.pluggable.PluggableDefinition.IPluggableNbtReader,MIGRATE,PipeAttachmentType / PipeAttachment / client presentation
buildcraft.api.transport.pluggable.PluggableDefinition.IPluggableNetLoader,MIGRATE,PipeAttachmentType / PipeAttachment / client presentation
buildcraft.api.transport.pluggable.PluggableModelKey,MIGRATE,PipeAttachmentType / PipeAttachment / client presentation
